habilidade_id,no_id_origem,ordem,texto,no_id_destino,correta,feedback
EF.09.MAT.2.92,e1,1,Eu travo. Não sei por onde começar.,e2_nao_sabe,TRUE,Ótimo ponto de partida: vamos construir desde o começo.
EF.09.MAT.2.92,e1,2,Penso em 'elevar cada termo' e pronto.,e2_erro_inicial,TRUE,Essa é uma ideia comum. Vamos investigar se está faltando algo.
EF.09.MAT.2.92,e1,3,"Penso em multiplicar \( (a+b) \) por \( (a+b) \), usando o 'chuveirinho'.",e2_caminho_bom,TRUE,"Muito bem, você já pensa na estrutura do produto."
EF.09.MAT.2.92,e1,4,Eu já conheço a regra pronta e uso direto.,e2_avancado,TRUE,"Excelente, vamos ver se você também entende a origem da regra."
EF.09.MAT.2.92,e2_nao_sabe,1,"Entendido, continuar ➔",e3_nao_sabe_q1,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e3_nao_sabe_q1,1,"É 'vezes ele mesmo', ou seja, multiplicar o número por ele mesmo.",e3_nao_sabe_q2,TRUE,Perfeito. Esse é o ponto crucial.
EF.09.MAT.2.92,e3_nao_sabe_q1,2,É 'vezes dois'.,e3_nao_sabe_corrige,FALSE,Esse é um erro comum. Vamos ajustar isso.
EF.09.MAT.2.92,e3_nao_sabe_q1,3,Não tenho certeza.,e3_nao_sabe_corrige,FALSE,Sem problema. Vamos clarear essa ideia.
EF.09.MAT.2.92,e3_nao_sabe_corrige,1,"Entendido, continuar ➔",e3_nao_sabe_q2,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e3_nao_sabe_q2,1,"Entendido, continuar ➔",e3_distributiva_intro,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e2_erro_inicial,1,"Entendido, continuar ➔",e3_distributiva_intro,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e2_caminho_bom,1,"Entendido, continuar ➔",e3_distributiva_intro,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e2_avancado,1,"Entendido, continuar ➔",e3_distributiva_intro,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e3_distributiva_intro,1,"Entendido, continuar ➔",e3_distributiva,TRUE,Vamos seguir passo a passo.
EF.09.MAT.2.92,e3_distributiva,1,"\( a \cdot a \), \( a \cdot b \), \( b \cdot a \), \( b \cdot b \)",e4_agrupamento,TRUE,Perfeito. Esses são os quatro produtos que surgem.
